City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Lincoln,AU,-34.73,135.87,50.99,80,57,10.2,broken clouds
1,Pangnirtung,CA,66.15,-65.71,50.0,81,100,8.05,overcast clouds
2,Tessalit,ML,20.20,1.01,75.18,72,98,14.88,moderate rain
3,Rikitea,PF,-23.12,-134.97,73.36,75,0,2.04,clear sky
4,Chunoyar,RU,57.45,97.32,52.61,97,81,3.65,broken clouds
5,Kodiak,US,57.79,-152.41,54.91,76,0,5.75,clear sky
6,Severo-Kurilsk,RU,50.68,156.12,51.69,97,100,12.91,overcast clouds
7,Podosinovets,RU,60.28,47.07,52.54,96,89,3.71,overcast clouds
8,Mar Del Plata,AR,-38.00,-57.56,63.95,53,0,16.11,clear sky
9,Grand Gaube,MU,-20.01,57.66,68.4,72,96,15.99,overcast clouds
10,Poum,NC,-20.23,164.02,75.43,86,100,7.36,overcast clouds
11,Kaitangata,NZ,-46.28,169.85,40.91,83,100,6.42,overcast clouds
12,Hithadhoo,MV,-0.60,73.08,80.64,69,100,1.43,overcast clouds
13,Amahai,ID,-3.33,128.92,76.37,89,63,4.09,broken clouds
14,Albany,US,42.60,-73.97,95.77,44,46,1.59,scattered clouds
15,Saldanha,ZA,-33.01,17.94,41.05,62,0,12.68,clear sky
16,Brumadinho,BR,-20.14,-44.20,75.52,42,29,10.69,scattered clouds
17,Pevek,RU,69.70,170.31,31.51,92,98,13.96,overcast clouds
18,Cape Town,ZA,-33.93,18.42,53.11,64,0,1.01,clear sky
19,Busselton,AU,-33.65,115.33,55.51,95,100,15.79,light rain
20,Ushuaia,AR,-54.80,-68.30,33.42,93,100,21.85,snow
21,Hualmay,PE,-11.10,-77.61,65.73,72,46,10.36,scattered clouds
22,Butaritari,KI,3.07,172.79,81.28,79,45,9.66,scattered clouds
23,Hermanus,ZA,-34.42,19.23,44.8,68,1,4.41,clear sky
24,Dingle,PH,11.00,122.67,76.75,88,68,2.37,broken clouds
25,Mahebourg,MU,-20.41,57.70,68.29,73,75,12.66,broken clouds
26,Varzea Grande,BR,-15.65,-56.13,93.07,21,0,3.44,clear sky
27,College,US,64.86,-147.80,64.08,66,75,9.22,broken clouds
28,Hilo,US,19.73,-155.09,83.28,90,100,6.91,mist
29,Plettenberg Bay,ZA,-34.05,23.37,54.34,86,64,3.06,broken clouds
30,New Norfolk,AU,-42.78,147.06,34.72,89,5,2.33,clear sky
31,Longyearbyen,SJ,78.22,15.64,49.84,87,75,3.44,broken clouds
32,Sonoita,MX,31.85,-112.83,99.12,28,51,12.33,broken clouds
33,Yei,SS,4.09,30.68,66.94,88,84,2.86,broken clouds
34,Avarua,CK,-21.21,-159.78,73.45,73,40,16.11,scattered clouds
35,Ponta Do Sol,PT,32.67,-17.10,74.71,80,4,5.95,clear sky
36,Birao,CF,10.28,22.79,73.99,85,59,4.14,broken clouds
37,Kokopo,PG,-4.35,152.26,75.7,87,100,6.2,overcast clouds
38,Saskylakh,RU,71.92,114.08,38.19,85,60,12.64,broken clouds
39,Basqal,AZ,40.76,48.39,67.75,54,0,4.21,clear sky
40,Arraial Do Cabo,BR,-22.97,-42.03,73.26,78,20,8.05,few clouds
41,Bethel,US,41.37,-73.41,98.73,51,20,8.05,few clouds
42,Sur,OM,22.57,59.53,84.04,76,84,15.17,broken clouds
43,Mataura,NZ,-46.19,168.86,39.47,92,100,1.95,overcast clouds
44,Pozo Colorado,PY,-23.49,-58.80,90.79,23,100,10.49,overcast clouds
45,Alofi,NU,-19.06,-169.92,75.09,78,75,11.5,broken clouds
46,Nome,US,64.50,-165.41,46.47,87,100,16.11,moderate rain
47,Kapaa,US,22.08,-159.32,82.72,73,20,14.97,few clouds
48,Itigi,TZ,-5.70,34.48,61.3,66,0,10.07,clear sky
49,Yichang,CN,30.71,111.28,73.83,96,100,0.67,overcast clouds
50,Hobart,AU,-42.88,147.33,35.06,94,0,8.05,clear sky
51,Erzin,TR,36.96,36.20,77.5,53,0,1.57,clear sky
52,Belaya Gora,RU,68.53,146.42,46.35,73,8,0.76,clear sky
53,Merrill,US,45.18,-89.68,75.92,89,100,12.66,mist
54,Junin,AR,-34.58,-60.94,67.32,47,14,10.2,few clouds
55,Giyon,ET,8.53,37.98,56.35,99,100,3.44,light rain
56,Biak,ID,-0.91,122.88,75.15,84,54,3.8,broken clouds
57,Macau,MO,22.20,113.55,84.85,89,20,9.22,few clouds
58,Vaini,TO,-21.20,-175.20,73.56,88,20,8.05,few clouds
59,Yellowknife,CA,62.46,-114.35,66.72,52,75,16.11,broken clouds
60,Upernavik,GL,72.79,-56.15,48.2,70,73,9.91,broken clouds
61,Khasan,RU,42.43,130.64,66.87,97,99,2.75,overcast clouds
