City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Hithadhoo,MV,80.64,overcast clouds,-0.6,73.08,Scoop Guest House
13,Amahai,ID,76.37,broken clouds,-3.33,128.92,HOTEL ISABELA
16,Brumadinho,BR,75.52,scattered clouds,-20.14,-44.2,Ville de Montagne Hotel
22,Butaritari,KI,81.28,scattered clouds,3.07,172.79,Isles Sunset Lodge
24,Dingle,PH,76.75,broken clouds,11.0,122.67,SEGAYA PROPERTY
28,Hilo,US,83.28,mist,19.73,-155.09,Hilo Hawaiian Hotel
35,Ponta Do Sol,PT,74.71,clear sky,32.67,-17.1,Hotel do Campo
37,Kokopo,PG,75.7,overcast clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
42,Sur,OM,84.04,broken clouds,22.57,59.53,Sur Plaza Hotel
45,Alofi,NU,75.09,broken clouds,-19.06,-169.92,Taloa Heights
47,Kapaa,US,82.72,few clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
51,Erzin,TR,77.5,clear sky,36.96,36.2,Artemis Otel
53,Merrill,US,75.92,mist,45.18,-89.68,Prairie Motel
56,Biak,ID,75.15,broken clouds,-0.91,122.88,Penginapan Kim
57,Macau,MO,84.85,few clouds,22.2,113.55,Grand Emperor Hotel
62,Atuona,PF,77.81,clear sky,-9.8,-139.03,Villa Enata
63,Melita,CA,76.53,few clouds,49.27,-101.0,Western Star Hotel
65,Port-Gentil,GA,75.16,scattered clouds,-0.72,8.78,Fengshui Residence
68,Naze,JP,79.72,broken clouds,28.37,129.48,Shishime Hotel
81,Bathsheba,BB,86.61,scattered clouds,13.22,-59.52,Atlantis Hotel
82,Pangai,TO,75.31,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
91,Faanui,PF,77.76,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
92,Asfi,MA,79.38,overcast clouds,32.3,-9.24,Hôtel Abda
93,Lethem,GY,85.14,overcast clouds,3.38,-59.8,Savannah Inn
94,Thompson,CA,75.36,broken clouds,55.74,-97.86,Burntwood Hotel
97,Mindelo,CV,78.35,scattered clouds,16.89,-24.98,Hotel Gaudi
110,Georgetown,MY,80.89,few clouds,5.41,100.34,Cititel Penang
112,Gimli,CA,75.29,scattered clouds,50.63,-96.99,Lakeview Gimli Resort
115,Punta Cardon,VE,84.67,overcast clouds,11.66,-70.22,Bambuda hotel
116,Saraipali,IN,76.42,overcast clouds,21.33,83.0,UTTAR KUMAR SIDAR
118,Sao Jose Da Coroa Grande,BR,75.29,light rain,-8.9,-35.15,Crôa Mares Hotel
